# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--h0 cosmological_parameters--omega_b cosmological_parameters--n_s cosmological_parameters--w intrinsic_alignment_parameters--a1 intrinsic_alignment_parameters--alpha1 intrinsic_alignment_parameters--a2 intrinsic_alignment_parameters--alpha2 intrinsic_alignment_parameters--bias_ta
3.829199218750000133e-01 7.805175781250000000e-01 9.013867187499999822e-01 6.904296875000001665e-02 1.017167968749999929e+00 -1.159678710937499968e+00 -4.692382812500000000e+00 7.470703125000000000e-01 -3.803710937500000000e+00 4.809570312500000000e+00 1.161132812500000000e+00
4.779199218749999867e-01 6.555175781250000000e-01 8.113867187500000133e-01 3.904296875000000389e-02 1.067167968749999973e+00 -1.576178710937500060e+00 -2.192382812500000000e+00 -1.752929687500000000e+00 3.696289062500000000e+00 2.309570312500000000e+00 6.611328125000000000e-01
2.879199218749999845e-01 9.055175781250000000e-01 6.313867187500000755e-01 5.904296875000000777e-02 9.671679687499999956e-01 -7.431787109375000977e-01 2.807617187500000000e+00 3.247070312500000000e+00 -1.303710937500000000e+00 -2.690429687500000000e+00 1.661132812500000000e+00
2.404199218749999978e-01 7.180175781250000000e-01 8.563867187500000533e-01 4.404296875000000139e-02 1.042167968750000062e+00 -5.349287109375000515e-01 1.557617187500000000e+00 1.997070312500000000e+00 2.446289062500000000e+00 1.059570312500000000e+00 9.111328125000000000e-01
4.304199218750000000e-01 9.680175781250000000e-01 6.763867187500000044e-01 6.404296875000001221e-02 9.421679687499999734e-01 -1.367928710937500014e+00 -3.442382812500000000e+00 -3.002929687500000000e+00 -2.553710937500000000e+00 -3.940429687500000000e+00 1.911132812500000000e+00
3.354199218750000266e-01 5.930175781250000000e-01 5.863867187500000355e-01 3.404296874999999944e-02 8.921679687500000400e-01 -9.514287109375001439e-01 -9.423828125000000000e-01 4.497070312500000000e+00 4.946289062500000000e+00 -1.440429687500000000e+00 4.111328125000000000e-01
1.454199218749999967e-01 8.430175781250000000e-01 7.663867187499999734e-01 5.404296875000000333e-02 9.921679687500000178e-01 -1.784428710937500107e+00 4.057617187500000000e+00 -5.029296875000000000e-01 -5.371093750000000000e-02 3.559570312500000000e+00 1.411132812500000000e+00
1.572949218749999933e-01 5.773925781250000000e-01 8.901367187500000000e-01 5.529296875000000444e-02 1.048417968750000151e+00 -1.315866210937500114e+00 -3.754882812500000000e+00 -2.690429687500000000e+00 -9.912109375000000000e-01 -4.877929687500000000e+00 1.598632812500000000e+00
3.472949218749999956e-01 8.273925781250000000e-01 7.101367187500000622e-01 3.529296875000000056e-02 9.484179687500000622e-01 -4.828662109375001510e-01 1.245117187500000000e+00 2.309570312500000000e+00 4.008789062500000000e+00 1.220703125000000000e-01 5.986328125000000000e-01
4.422949218750000244e-01 7.023925781250000000e-01 6.201367187499999822e-01 6.529296875000001332e-02 8.984179687500000178e-01 -1.732366210937499984e+00 3.745117187500000000e+00 -1.904296875000000000e-01 -3.491210937500000000e+00 2.622070312500000000e+00 1.098632812500000000e+00
2.522949218750000222e-01 9.523925781250000000e-01 8.001367187500000311e-01 4.529296875000000250e-02 9.984179687500001066e-01 -8.993662109375000213e-01 -1.254882812500000000e+00 4.809570312500000000e+00 1.508789062500000000e+00 -2.377929687500000000e+00 9.863281250000000000e-02
2.997949218750000089e-01 6.398925781250000000e-01 6.651367187500000222e-01 5.029296875000000000e-02 8.734179687499999956e-01 -1.107616210937500068e+00 -2.504882812500000000e+00 1.059570312500000000e+00 -2.241210937500000000e+00 3.872070312500000000e+00 1.348632812500000000e+00
4.897949218750000111e-01 8.898925781250000000e-01 8.451367187500000711e-01 3.029296874999999958e-02 9.734179687499999734e-01 -1.940616210937500030e+00 2.495117187500000000e+00 -3.940429687500000000e+00 2.758789062500000000e+00 -1.127929687500000000e+00 3.486328125000000000e-01
3.947949218749999822e-01 5.148925781250000000e-01 7.551367187499999911e-01 6.029296875000000888e-02 1.023417968750000018e+00 -6.911162109374999751e-01 4.995117187500000000e+00 3.559570312500000000e+00 -4.741210937500000000e+00 -3.627929687500000000e+00 1.848632812500000000e+00
2.047949218749999800e-01 7.648925781250000000e-01 5.751367187500000533e-01 4.029296875000000500e-02 9.234179687500000400e-01 -1.524116210937500160e+00 -4.882812500000000000e-03 -1.440429687500000000e+00 2.587890625000000000e-01 1.372070312500000000e+00 8.486328125000000000e-01
1.810449218749999867e-01 7.336425781250000000e-01 7.776367187500000666e-01 3.279296874999999833e-02 9.609179687500000178e-01 -1.419991210937499915e+00 -4.379882812500000000e+00 2.934570312500000000e+00 -1.616210937500000000e+00 -4.252929687500000000e+00 9.736328125000000000e-01
3.710449218749999889e-01 9.836425781250000000e-01 5.976367187500000178e-01 5.279296875000000222e-02 1.060917968750000107e+00 -5.869912109375001741e-01 6.201171875000000000e-01 -2.065429687500000000e+00 3.383789062500000000e+00 7.470703125000000000e-01 1.973632812500000000e+00
