# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--omega_b baryons--bacco_M_c baryons--bacco_M1_z0_cen baryons--bacco_beta baryons--bacco_eta baryons--bacco_theta_inn
3.934960937499999978e-01 7.983398437500000000e-01 3.191406249999999972e-02 1.574804687500000000e+01 1.233984375000000000e+01 -7.293945312500000888e-01 -2.315429687500000222e-01 -1.716796875000000000e+00
4.884960937500000266e-01 6.733398437500000000e-01 4.191406250000000167e-02 1.124804687500000000e+01 1.133984375000000000e+01 5.456054687500000444e-01 -6.542968750000044409e-03 -2.167968750000000000e-01
2.984960937499999689e-01 9.233398437500000000e-01 6.191406250000000555e-02 1.424804687500000000e+01 9.339843750000000000e+00 -3.043945312500000444e-01 -4.565429687500000000e-01 -1.216796875000000000e+00
2.509960937499999822e-01 7.358398437500000000e-01 3.691406249999999722e-02 1.199804687500000000e+01 1.183984375000000000e+01 -5.168945312499999556e-01 -5.690429687499999334e-01 -1.966796875000000000e+00
4.409960937499999845e-01 9.858398437500000000e-01 5.691406250000000111e-02 1.499804687500000000e+01 9.839843750000000000e+00 3.331054687499999112e-01 -1.190429687499999778e-01 -9.667968750000000000e-01
3.459960937500000111e-01 6.108398437500000000e-01 6.691406250000000999e-02 1.049804687500000000e+01 1.083984375000000000e+01 -9.418945312500000000e-01 1.059570312500000000e-01 -1.466796875000000000e+00
1.559960937500000089e-01 8.608398437500000000e-01 4.691406250000000611e-02 1.349804687500000000e+01 1.283984375000000000e+01 -9.189453125000002220e-02 -3.440429687500000111e-01 -4.667968750000000000e-01
1.441210937499999845e-01 5.952148437500000000e-01 3.066406249999999861e-02 1.406054687500000000e+01 1.121484375000000000e+01 2.799804687500000444e-01 -1.471679687500000444e-01 -9.042968750000000000e-01
3.341210937499999867e-01 8.452148437500000000e-01 5.066406250000000250e-02 1.106054687500000000e+01 9.214843750000000000e+00 -5.700195312500000444e-01 -5.971679687500000000e-01 -1.904296875000000000e+00
4.291210937500000155e-01 7.202148437500000000e-01 6.066406250000000444e-02 1.556054687500000000e+01 1.021484375000000000e+01 -1.450195312500000000e-01 -3.721679687499999667e-01 -4.042968750000000000e-01
2.391210937500000133e-01 9.702148437500000000e-01 4.066406250000000056e-02 1.256054687500000000e+01 1.221484375000000000e+01 -9.950195312499999778e-01 7.783203124999993339e-02 -1.404296875000000000e+00
2.866210937500000000e-01 6.577148437500000000e-01 5.566406250000000000e-02 1.331054687500000000e+01 1.071484375000000000e+01 -7.825195312499999556e-01 -3.466796875000000000e-02 -1.654296875000000000e+00
4.766210937500000022e-01 9.077148437500000000e-01 3.566406249999999611e-02 1.031054687500000000e+01 1.271484375000000000e+01 6.748046874999991118e-02 -4.846679687499999556e-01 -6.542968750000000000e-01
3.816210937499999734e-01 5.327148437500000000e-01 4.566406250000000500e-02 1.481054687500000000e+01 1.171484375000000000e+01 -3.575195312500000222e-01 -2.596679687499999778e-01 -1.154296875000000000e+00
1.916210937499999989e-01 7.827148437500000000e-01 6.566406250000000888e-02 1.181054687500000000e+01 9.714843750000000000e+00 4.924804687499999556e-01 1.903320312499999778e-01 -1.542968750000000000e-01
1.678710937500000056e-01 6.889648437500000000e-01 4.316406250000000278e-02 1.068554687500000000e+01 9.464843750000000000e+00 5.987304687499999112e-01 -2.034179687500000111e-01 -1.029296875000000000e+00
3.578710937500000355e-01 9.389648437500000000e-01 6.316406250000000666e-02 1.368554687500000000e+01 1.146484375000000000e+01 -2.512695312500000666e-01 -6.534179687499999112e-01 -2.929687500000000000e-02
4.528710937500000089e-01 5.639648437500000000e-01 5.316406250000000472e-02 1.218554687500000000e+01 1.246484375000000000e+01 1.737304687499998668e-01 -4.284179687499999889e-01 -1.529296875000000000e+00
2.628710937500000067e-01 8.139648437500000000e-01 3.316406250000000083e-02 1.518554687500000000e+01 1.046484375000000000e+01 -6.762695312500000000e-01 2.158203125000002220e-02 -5.292968750000000000e-01
2.153710937499999922e-01 5.014648437500000000e-01 6.816406250000001110e-02 1.143554687500000000e+01 1.296484375000000000e+01 -8.887695312500000222e-01 -9.091796875000002220e-02 -2.792968750000000000e-01
