# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--h0 cosmological_parameters--omega_b cosmological_parameters--n_s cosmological_parameters--w intrinsic_alignment_parameters--a1 intrinsic_alignment_parameters--alpha1 intrinsic_alignment_parameters--a2 intrinsic_alignment_parameters--alpha2 intrinsic_alignment_parameters--bias_ta
4.345947265624999778e-01 9.786376953125000000e-01 7.251660156250000488e-01 5.508789062500000361e-02 9.089160156250000178e-01 -5.459106445312500444e-01 3.400878906250000000e+00 -3.210449218750000000e+00 3.752441406250000000e+00 -4.748535156250000000e+00 2.817382812500000000e-01
3.395947265625000044e-01 6.036376953125000000e-01 6.351660156250000799e-01 4.508789062500000167e-02 9.589160156250000622e-01 -1.795410644531250099e+00 9.008789062500000000e-01 4.289550781250000000e+00 -3.747558593750000000e+00 -2.248535156250000000e+00 1.781738281250000000e+00
1.495947265625000022e-01 8.536376953125000000e-01 8.151660156250000178e-01 6.508789062500000555e-02 1.058916015625000151e+00 -9.624106445312501368e-01 -4.099121093750000000e+00 -7.104492187500000000e-01 1.252441406250000000e+00 2.751464843750000000e+00 7.817382812500000000e-01
1.614697265624999989e-01 6.192626953125000000e-01 8.489160156249999645e-01 6.383789062500000444e-02 9.776660156249999956e-01 -5.979731445312501670e-01 4.338378906250000000e+00 -3.522949218750000000e+00 2.189941406250000000e+00 -3.811035156250000000e+00 2.192382812500000000e-01
3.514697265624999734e-01 8.692626953125000000e-01 6.689160156250000266e-01 4.383789062500000056e-02 8.776660156250000178e-01 -1.430973144531249908e+00 -6.616210937500000000e-01 1.477050781250000000e+00 -2.810058593750000000e+00 1.188964843750000000e+00 1.219238281250000000e+00
4.464697265625000022e-01 7.442626953125000000e-01 5.789160156250000577e-01 5.383789062500000250e-02 9.276660156250000622e-01 -1.014473144531250037e+00 -3.161621093750000000e+00 -1.022949218750000000e+00 4.689941406250000000e+00 3.688964843750000000e+00 7.192382812500000000e-01
2.564697265625000000e-01 9.942626953125000000e-01 7.589160156249999956e-01 3.383789062499999861e-02 1.027666015624999929e+00 -1.847473144531250000e+00 1.838378906250000000e+00 3.977050781250000000e+00 -3.100585937500000000e-01 -1.311035156250000000e+00 1.719238281250000000e+00
3.039697265624999867e-01 6.817626953125000000e-01 7.139160156250000666e-01 6.883789062500000888e-02 9.526660156249999734e-01 -1.639223144531249954e+00 3.088378906250000000e+00 2.270507812500000000e-01 9.399414062500000000e-01 4.938964843750000000e+00 9.692382812500000000e-01
4.939697265624999889e-01 9.317626953125000000e-01 8.939160156250000044e-01 4.883789062500000500e-02 1.052666015625000062e+00 -8.062231445312499911e-01 -1.911621093750000000e+00 -4.772949218750000000e+00 -4.060058593750000000e+00 -6.103515625000000000e-02 1.969238281250000000e+00
3.989697265625000155e-01 5.567626953125000000e-01 8.039160156250000355e-01 5.883789062500000000e-02 1.002666015625000018e+00 -1.222723144531250083e+00 -4.411621093750000000e+00 2.727050781250000000e+00 3.439941406250000000e+00 -2.561035156250000000e+00 4.692382812500000000e-01
2.089697265625000133e-01 8.067626953125000000e-01 6.239160156250000977e-01 3.883789062500000305e-02 9.026660156250000400e-01 -3.897231445312501208e-01 5.883789062500000000e-01 -2.272949218750000000e+00 -1.560058593750000000e+00 2.438964843750000000e+00 1.469238281250000000e+00
1.852197265624999922e-01 7.130126953125000000e-01 7.364160156250000311e-01 4.633789062500000278e-02 8.901660156249999734e-01 -4.938481445312501439e-01 4.963378906250000000e+00 3.352050781250000000e+00 3.149414062500000000e-01 -4.436035156250000000e+00 1.344238281250000000e+00
3.752197265625000222e-01 9.630126953125000000e-01 5.564160156250000933e-01 6.633789062500000666e-02 9.901660156250000622e-01 -1.326848144531250107e+00 -3.662109375000000000e-02 -1.647949218750000000e+00 -4.685058593750000000e+00 5.639648437500000000e-01 3.442382812500000000e-01
4.702197265624999956e-01 5.880126953125000000e-01 6.464160156250000622e-01 3.633789062500000083e-02 1.040166015625000107e+00 -9.103481445312500142e-01 -2.536621093750000000e+00 8.520507812500000000e-01 2.814941406250000000e+00 3.063964843750000000e+00 1.844238281250000000e+00
2.802197265624999933e-01 8.380126953125000000e-01 8.264160156250000000e-01 5.633789062500000472e-02 9.401660156250000178e-01 -1.743348144531249977e+00 2.463378906250000000e+00 -4.147949218750000000e+00 -2.185058593750000000e+00 -1.936035156250000000e+00 8.442382812500000000e-01
2.327197265625000067e-01 5.255126953125000000e-01 6.014160156250000222e-01 4.133789062499999833e-02 1.065166015625000018e+00 -1.951598144531250023e+00 3.713378906250000000e+00 -3.979492187500000000e-01 1.564941406250000000e+00 4.313964843750000000e+00 1.594238281250000000e+00
4.227197265625000089e-01 7.755126953125000000e-01 7.814160156250000711e-01 6.133789062500000222e-02 9.651660156250000400e-01 -1.118598144531250060e+00 -1.286621093750000000e+00 4.602050781250000000e+00 -3.435058593750000000e+00 -6.860351562500000000e-01 5.942382812500000000e-01
3.277197265625000355e-01 6.505126953125000000e-01 8.714160156250000400e-01 3.133789062499999639e-02 9.151660156249999956e-01 -1.535098144531250153e+00 -3.786621093750000000e+00 -2.897949218750000000e+00 4.064941406250000000e+00 -3.186035156250000000e+00 1.094238281250000000e+00
1.377197265625000056e-01 9.005126953125000000e-01 6.914160156249999911e-01 5.133789062500000722e-02 1.015166015624999973e+00 -7.020981445312499680e-01 1.213378906250000000e+00 2.102050781250000000e+00 -9.350585937500000000e-01 1.813964843750000000e+00 9.423828125000000000e-02
1.436572265624999900e-01 5.020751953125000000e-01 7.532910156250000044e-01 3.571289062500000028e-02 9.620410156249999956e-01 -1.717316894531250027e+00 -3.630371093750000000e+00 -1.804199218750000000e+00 3.908691406250000000e+00 -2.172851562500000000e-01 5.004882812500000000e-01
3.336572265624999645e-01 7.520751953125000000e-01 5.732910156250000666e-01 5.571289062500000416e-02 1.062041015624999973e+00 -8.843168945312500639e-01 1.369628906250000000e+00 3.195800781250000000e+00 -1.091308593750000000e+00 4.782714843750000000e+00 1.500488281250000000e+00
4.286572265624999933e-01 6.270751953125000000e-01 6.632910156250000355e-01 4.571289062500000222e-02 1.012041015624999929e+00 -1.300816894531250156e+00 3.869628906250000000e+00 -4.304199218750000000e+00 1.408691406250000000e+00 2.282714843750000000e+00 4.882812500000000000e-04
2.386572265624999911e-01 8.770751953125000000e-01 8.432910156249999734e-01 6.571289062500000611e-02 9.120410156250000622e-01 -4.678168945312499716e-01 -1.130371093750000000e+00 6.958007812500000000e-01 -3.591308593750000000e+00 -2.717285156250000000e+00 1.000488281250000000e+00
2.861572265624999778e-01 6.895751953125000000e-01 6.182910156249999956e-01 3.071289062499999931e-02 9.870410156250000178e-01 -6.760668945312500178e-01 -4.880371093750000000e+00 4.445800781250000000e+00 2.658691406250000000e+00 1.032714843750000000e+00 2.504882812500000000e-01
4.761572265624999800e-01 9.395751953125000000e-01 7.982910156250000444e-01 5.071289062500000666e-02 8.870410156250000400e-01 -1.509066894531249980e+00 1.196289062500000000e-01 -5.541992187500000000e-01 -2.341308593750000000e+00 -3.967285156250000000e+00 1.250488281250000000e+00
3.811572265625000067e-01 5.645751953125000000e-01 8.882910156250000133e-01 4.071289062499999778e-02 9.370410156249999734e-01 -1.092566894531250110e+00 2.619628906250000000e+00 1.945800781250000000e+00 1.586914062500000000e-01 -1.467285156250000000e+00 7.504882812500000000e-01
1.911572265625000044e-01 8.145751953125000000e-01 7.082910156250000755e-01 6.071289062500000167e-02 1.037041015625000062e+00 -1.925566894531250073e+00 -2.380371093750000000e+00 -3.054199218750000000e+00 -4.841308593750000000e+00 3.532714843750000000e+00 1.750488281250000000e+00
2.149072265624999978e-01 6.583251953125000000e-01 8.207910156250000089e-01 5.321289062500000194e-02 1.049541015625000018e+00 -1.821441894531250050e+00 -3.005371093750000000e+00 1.320800781250000000e+00 3.283691406250000000e+00 -8.422851562500000000e-01 1.875488281250000000e+00
4.049072265625000000e-01 9.083251953125000000e-01 6.407910156250000711e-01 3.321289062499999806e-02 9.495410156250000400e-01 -9.884418945312500870e-01 1.994628906250000000e+00 -3.679199218750000000e+00 -1.716308593750000000e+00 4.157714843750000000e+00 8.754882812500000000e-01
4.999072265624999734e-01 5.333251953125000000e-01 5.507910156249999911e-01 6.321289062500000389e-02 8.995410156249999956e-01 -1.404941894531249957e+00 4.494628906250000000e+00 3.820800781250000000e+00 7.836914062500000000e-01 1.657714843750000000e+00 1.375488281250000000e+00
3.099072265625000266e-01 7.833251953125000000e-01 7.307910156250000400e-01 4.321289062500000000e-02 9.995410156249999734e-01 -5.719418945312499947e-01 -5.053710937500000000e-01 -1.179199218750000000e+00 -4.216308593750000000e+00 -3.342285156250000000e+00 3.754882812500000000e-01
2.624072265624999845e-01 5.958251953125000000e-01 6.857910156250000000e-01 5.821289062499999944e-02 8.745410156249999734e-01 -3.636918945312501705e-01 -4.255371093750000000e+00 -4.929199218750000000e+00 4.533691406250000000e+00 4.077148437500000000e-01 1.125488281250000000e+00
4.524072265624999867e-01 8.458251953125000000e-01 8.657910156250000488e-01 3.821289062500000250e-02 9.745410156250000622e-01 -1.196691894531249911e+00 7.446289062500000000e-01 7.080078125000000000e-02 -4.663085937500000000e-01 -4.592285156250000000e+00 1.254882812500000000e-01
3.574072265625000133e-01 7.208251953125000000e-01 7.757910156250000799e-01 6.821289062500000833e-02 1.024541015625000107e+00 -7.801918945312500409e-01 3.244628906250000000e+00 -2.429199218750000000e+00 2.033691406250000000e+00 -2.092285156250000000e+00 1.625488281250000000e+00
1.674072265625000111e-01 9.708251953125000000e-01 5.957910156250000311e-01 4.821289062500000444e-02 9.245410156250000178e-01 -1.613191894531250004e+00 -1.755371093750000000e+00 2.570800781250000000e+00 -2.966308593750000000e+00 2.907714843750000000e+00 6.254882812500000000e-01
1.555322265624999867e-01 7.364501953125000000e-01 6.520410156250000533e-01 4.196289062499999889e-02 9.182910156250000400e-01 -1.248754394531250034e+00 1.682128906250000000e+00 3.833007812500000000e-01 -3.278808593750000000e+00 -4.279785156250000000e+00 3.129882812500000000e-01
3.455322265624999889e-01 9.864501953125000000e-01 8.320410156249999911e-01 6.196289062500000278e-02 1.018291015625000018e+00 -4.157543945312500711e-01 -3.317871093750000000e+00 -4.616699218750000000e+00 1.721191406250000000e+00 7.202148437500000000e-01 1.312988281250000000e+00
4.405322265625000178e-01 6.114501953125000000e-01 7.420410156250000222e-01 3.196289062499999695e-02 1.068291015625000062e+00 -1.665254394531249904e+00 -8.178710937500000000e-01 2.883300781250000000e+00 -7.788085937500000000e-01 3.220214843750000000e+00 8.129882812500000000e-01
2.505322265624999600e-01 8.614501953125000000e-01 5.620410156250000844e-01 5.196289062500000777e-02 9.682910156249999734e-01 -8.322543945312499414e-01 4.182128906250000000e+00 -2.116699218750000000e+00 4.221191406250000000e+00 -1.779785156250000000e+00 1.812988281250000000e+00
2.980322265625000022e-01 5.489501953125000000e-01 8.770410156250000311e-01 4.696289062500000333e-02 1.043291015624999929e+00 -1.040504394531249988e+00 4.321289062500000000e-01 -3.366699218750000000e+00 -4.528808593750000000e+00 4.470214843750000000e+00 5.629882812500000000e-01
4.880322265625000044e-01 7.989501953125000000e-01 6.970410156249999822e-01 6.696289062500000722e-02 9.432910156250000622e-01 -1.873504394531249950e+00 -4.567871093750000000e+00 1.633300781250000000e+00 4.711914062500000000e-01 -5.297851562500000000e-01 1.562988281250000000e+00
3.930322265624999756e-01 6.739501953125000000e-01 6.070410156250000133e-01 3.696289062500000139e-02 8.932910156250000178e-01 -6.240043945312501172e-01 -2.067871093750000000e+00 -8.666992187500000000e-01 -2.028808593750000000e+00 -3.029785156250000000e+00 6.298828125000000000e-02
2.030322265625000011e-01 9.239501953125000000e-01 7.870410156250000622e-01 5.696289062500000527e-02 9.932910156249999956e-01 -1.457004394531249858e+00 2.932128906250000000e+00 4.133300781250000000e+00 2.971191406250000000e+00 1.970214843750000000e+00 1.062988281250000000e+00
1.792822265624999800e-01 5.802001953125000000e-01 5.845410156250000488e-01 6.946289062500000944e-02 1.005791015625000062e+00 -1.561129394531250103e+00 2.307128906250000000e+00 -2.416992187500000000e-01 -3.903808593750000000e+00 -4.904785156250000000e+00 1.187988281250000000e+00
3.692822265624999822e-01 8.302001953125000000e-01 7.645410156250000977e-01 4.946289062500000555e-02 9.057910156249999734e-01 -7.281293945312501403e-01 -2.692871093750000000e+00 4.758300781250000000e+00 1.096191406250000000e+00 9.521484375000000000e-02 1.879882812500000000e-01
4.642822265625000111e-01 7.052001953125000000e-01 8.545410156249999556e-01 5.946289062500000056e-02 9.557910156250000178e-01 -1.977629394531249973e+00 -1.928710937500000000e-01 -2.741699218750000000e+00 -1.403808593750000000e+00 2.595214843750000000e+00 1.687988281250000000e+00
2.742822265625000089e-01 9.552001953125000000e-01 6.745410156250000178e-01 3.946289062499999667e-02 1.055791015625000107e+00 -1.144629394531250011e+00 4.807128906250000000e+00 2.258300781250000000e+00 3.596191406250000000e+00 -2.404785156250000000e+00 6.879882812500000000e-01
2.267822265624999944e-01 6.427001953125000000e-01 8.095410156250000266e-01 6.446289062500000500e-02 9.307910156249999956e-01 -9.363793945312499645e-01 1.057128906250000000e+00 3.508300781250000000e+00 -2.653808593750000000e+00 3.845214843750000000e+00 1.937988281250000000e+00
4.167822265625000244e-01 8.927001953125000000e-01 6.295410156250000888e-01 4.446289062500000111e-02 1.030791015624999973e+00 -1.769379394531249927e+00 -3.942871093750000000e+00 -1.491699218750000000e+00 2.346191406250000000e+00 -1.154785156250000000e+00 9.379882812500000000e-01
3.217822265624999956e-01 5.177001953125000000e-01 7.195410156250000577e-01 5.446289062500000305e-02 9.807910156250000400e-01 -5.198793945312500941e-01 -1.442871093750000000e+00 1.008300781250000000e+00 -1.538085937500000000e-01 -3.654785156250000000e+00 1.437988281250000000e+00
1.317822265624999933e-01 7.677001953125000000e-01 8.995410156250001066e-01 3.446289062499999917e-02 8.807910156249999512e-01 -1.352879394531250057e+00 3.557128906250000000e+00 -3.991699218750000000e+00 4.846191406250000000e+00 1.345214843750000000e+00 4.379882812500000000e-01
1.288134765625000011e-01 5.684814453125000000e-01 7.279785156250000444e-01 4.977539062499999889e-02 1.063603515625000107e+00 -1.470020019531250055e+00 -4.958496093750000000e+00 -1.882324218750000000e+00 -1.950683593750000000e+00 -3.420410156250000000e+00 1.703613281250000000e+00
3.188134765625000311e-01 8.184814453125000000e-01 9.079785156249999822e-01 6.977539062500001665e-02 9.636035156250000178e-01 -6.370200195312500924e-01 4.150390625000000000e-02 3.117675781250000000e+00 3.049316406250000000e+00 1.579589843750000000e+00 7.036132812500000000e-01
4.138134765625000044e-01 6.934814453125000000e-01 8.179785156250000133e-01 3.977539062500000389e-02 9.136035156249999734e-01 -1.886520019531249925e+00 2.541503906250000000e+00 -4.382324218750000000e+00 -4.450683593750000000e+00 4.079589843750000000e+00 1.203613281250000000e+00
2.238134765625000022e-01 9.434814453125000000e-01 6.379785156250000755e-01 5.977539062500000777e-02 1.013603515625000062e+00 -1.053520019531250185e+00 -2.458496093750000000e+00 6.176757812500000000e-01 5.493164062500000000e-01 -9.204101562500000000e-01 2.036132812500000000e-01
2.713134765624999889e-01 6.309814453125000000e-01 8.629785156250000533e-01 4.477539062500000139e-02 8.886035156249999512e-01 -8.452700195312501386e-01 -3.708496093750000000e+00 4.367675781250000000e+00 -7.006835937500000000e-01 2.829589843750000000e+00 1.453613281250000000e+00
4.613134765624999911e-01 8.809814453125000000e-01 6.829785156250000044e-01 6.477539062500001221e-02 9.886035156250000400e-01 -1.678270019531249879e+00 1.291503906250000000e+00 -6.323242187500000000e-01 4.299316406250000000e+00 -2.170410156250000000e+00 4.536132812500000000e-01
3.663134765625000178e-01 5.059814453125000000e-01 5.929785156250000355e-01 3.477539062499999944e-02 1.038603515624999973e+00 -4.287700195312500462e-01 3.791503906250000000e+00 1.867675781250000000e+00 -3.200683593750000000e+00 -4.670410156250000000e+00 1.953613281250000000e+00
1.763134765624999878e-01 7.559814453125000000e-01 7.729785156249999734e-01 5.477539062500000333e-02 9.386035156249999956e-01 -1.261770019531250009e+00 -1.208496093750000000e+00 -3.132324218750000000e+00 1.799316406250000000e+00 3.295898437500000000e-01 9.536132812500000000e-01
