# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--h0 cosmological_parameters--omega_b cosmological_parameters--n_s cosmological_parameters--w intrinsic_alignment_parameters--a1 intrinsic_alignment_parameters--alpha1 intrinsic_alignment_parameters--a2 intrinsic_alignment_parameters--alpha2 intrinsic_alignment_parameters--bias_ta
3.308740234374999978e-01 8.104248046875000000e-01 6.929980468750001066e-01 4.182617187499999833e-02 1.017607421874999973e+00 -4.767651367187499822e-01 1.245117187500000000e-01 -1.320800781250000000e+00 -1.584472656250000000e+00 -2.692871093750000000e+00 1.112792968750000000e+00
4.258740234375000266e-01 6.854248046875000000e-01 6.029980468750000266e-01 5.182617187500000722e-02 1.067607421875000018e+00 -1.726265136718750037e+00 2.624511718750000000e+00 1.179199218750000000e+00 9.155273437500000000e-01 -1.928710937500000000e-01 6.127929687500000000e-01
2.358740234374999967e-01 9.354248046875000000e-01 7.829980468750000755e-01 3.182617187499999639e-02 9.676074218750000400e-01 -8.932651367187500746e-01 -2.375488281250000000e+00 -3.820800781250000000e+00 -4.084472656250000000e+00 4.807128906250000000e+00 1.612792968750000000e+00
2.833740234375000111e-01 7.479248046875000000e-01 6.479980468750000666e-01 6.682617187500000666e-02 1.042607421875000107e+00 -1.101515136718750121e+00 -3.625488281250000000e+00 -7.080078125000000000e-02 4.665527343750000000e+00 -1.442871093750000000e+00 8.627929687500000000e-01
4.733740234375000133e-01 9.979248046875000000e-01 8.279980468750001155e-01 4.682617187500000278e-02 9.426074218750000178e-01 -1.934515136718750083e+00 1.374511718750000000e+00 4.929199218750000000e+00 -3.344726562500000000e-01 3.557128906250000000e+00 1.862792968750000000e+00
3.783740234374999845e-01 6.229248046875000000e-01 7.379980468750000355e-01 5.682617187500000472e-02 8.926074218749999734e-01 -6.850151367187500284e-01 3.874511718750000000e+00 -2.570800781250000000e+00 2.165527343750000000e+00 1.057128906250000000e+00 3.627929687500000000e-01
1.883740234374999822e-01 8.729248046875000000e-01 5.579980468750000977e-01 3.682617187500000083e-02 9.926074218750000622e-01 -1.518015136718749991e+00 -1.125488281250000000e+00 2.429199218750000000e+00 -2.834472656250000000e+00 -3.942871093750000000e+00 1.362792968750000000e+00
2.121240234375000033e-01 6.541748046875000000e-01 8.054980468750000400e-01 4.932617187500000500e-02 1.005107421875000018e+00 -1.413890136718749968e+00 -4.250488281250000000e+00 -3.195800781250000000e+00 4.040527343750000000e+00 1.682128906250000000e+00 1.487792968750000000e+00
4.021240234374999778e-01 9.041748046875000000e-01 6.254980468749999911e-01 6.932617187500000888e-02 9.051074218750000400e-01 -5.808901367187500053e-01 7.495117187500000000e-01 1.804199218750000000e+00 -9.594726562500000000e-01 -3.317871093750000000e+00 4.877929687500000000e-01
4.971240234375000067e-01 5.291748046875000000e-01 7.154980468750000711e-01 3.932617187500000305e-02 9.551074218749999734e-01 -1.830390136718750060e+00 3.249511718750000000e+00 -6.958007812500000000e-01 1.540527343750000000e+00 -8.178710937500000000e-01 1.987792968750000000e+00
3.071240234375000044e-01 7.791748046875000000e-01 8.954980468750000089e-01 5.932617187500000000e-02 1.055107421875000062e+00 -9.973901367187500977e-01 -1.750488281250000000e+00 4.304199218750000000e+00 -3.459472656250000000e+00 4.182128906250000000e+00 9.877929687500000000e-01
2.596240234375000178e-01 5.916748046875000000e-01 5.804980468750000622e-01 4.432617187500000056e-02 9.301074218750000622e-01 -7.891401367187500515e-01 -3.000488281250000000e+00 5.541992187500000000e-01 2.790527343750000000e+00 -2.067871093750000000e+00 1.737792968750000000e+00
