# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--h0 cosmological_parameters--omega_b cosmological_parameters--n_s
4.769921874999999978e-01 7.911132812500000222e-01 7.194531250000000266e-01 3.679687499999999972e-02 8.766406249999999512e-01
3.819921875000000244e-01 7.286132812500000222e-01 6.294531250000000577e-01 6.679687500000000555e-02 9.266406249999999956e-01
1.919921874999999944e-01 8.536132812500000222e-01 8.094531250000001066e-01 4.679687500000000167e-02 1.026640624999999973e+00
1.682421875000000011e-01 6.817382812500000222e-01 5.619531250000000533e-01 3.929687500000000194e-02 1.064140625000000062e+00
3.582421875000000311e-01 8.067382812500000222e-01 7.419531249999999911e-01 5.929687500000000583e-02 9.641406249999999734e-01
4.532421875000000044e-01 7.442382812500000222e-01 8.319531250000000711e-01 4.929687500000000389e-02 9.141406250000000400e-01
2.632421875000000022e-01 8.692382812500000222e-01 6.519531250000000222e-01 6.929687500000000777e-02 1.014140625000000018e+00
2.157421875000000155e-01 7.129882812500000222e-01 7.869531250000000311e-01 3.429687499999999750e-02 8.891406250000000178e-01
4.057421875000000178e-01 8.379882812500000222e-01 6.069531250000000933e-01 5.429687500000000833e-02 9.891406249999999956e-01
3.107421874999999889e-01 6.504882812500000222e-01 6.969531250000000622e-01 4.429687499999999944e-02 1.039140624999999929e+00
1.207421875000000006e-01 7.754882812500000222e-01 8.769531250000000000e-01 6.429687500000000333e-02 9.391406250000000622e-01
1.211132812499999961e-01 7.127441406250000222e-01 6.804296874999999911e-01 3.605468750000000167e-02 1.049101562499999973e+00
3.111132812499999845e-01 8.377441406250000222e-01 8.604296875000000400e-01 5.605468750000000555e-02 9.491015624999999956e-01
4.061132812500000133e-01 6.502441406250000222e-01 7.704296875000000711e-01 4.605468750000000361e-02 8.991015625000000622e-01
2.161132812500000111e-01 7.752441406250000222e-01 5.904296875000000222e-01 6.605468750000001443e-02 9.991015625000000400e-01
2.636132812499999978e-01 6.814941406250000222e-01 9.054296875000000799e-01 3.105468750000000069e-02 8.741015625000000400e-01
4.536132812500000000e-01 8.064941406250000222e-01 7.254296875000000311e-01 5.105468750000000111e-02 9.741015625000000178e-01
3.586132812500000266e-01 7.439941406250000222e-01 6.354296875000000622e-01 4.105468749999999917e-02 1.024101562500000062e+00
1.686132812499999967e-01 8.689941406250000222e-01 8.154296875000000000e-01 6.105468750000000999e-02 9.241015624999999734e-01
1.923632812499999900e-01 6.658691406250000222e-01 5.679296875000000577e-01 5.355468750000000333e-02 9.616015625000000622e-01
3.823632812500000200e-01 7.908691406250000222e-01 7.479296874999999956e-01 3.355468749999999944e-02 1.061601562500000151e+00
4.773632812499999933e-01 7.283691406250000222e-01 8.379296874999999645e-01 6.355468750000001221e-02 1.011601562500000107e+00
2.873632812499999911e-01 8.533691406250000222e-01 6.579296875000000266e-01 4.355468750000000139e-02 9.116015625000000178e-01
2.398632812500000044e-01 7.596191406250000222e-01 7.929296875000000355e-01 5.855468750000000777e-02 9.866015624999999734e-01
4.298632812500000067e-01 8.846191406250000222e-01 6.129296875000000977e-01 3.855468750000000389e-02 8.866015624999999956e-01
3.348632812499999778e-01 6.971191406250000222e-01 7.029296875000000666e-01 6.855468750000001665e-02 9.366015625000000400e-01
1.448632812500000033e-01 8.221191406250000222e-01 8.829296875000000044e-01 4.855468749999999889e-02 1.036601562500000018e+00
1.567382812500000000e-01 7.049316406250000222e-01 7.366796875000000133e-01 4.230468750000000028e-02 1.005351562500000018e+00
3.467382812500000022e-01 8.299316406250000222e-01 5.566796875000000755e-01 6.230468750000000416e-02 9.053515625000000400e-01
4.417382812499999756e-01 7.674316406250000222e-01 6.466796875000000444e-01 3.230468749999999833e-02 9.553515624999999734e-01
2.517382812499999734e-01 8.924316406250000222e-01 8.266796874999999822e-01 5.230468750000000222e-02 1.055351562500000062e+00
2.992382812499999600e-01 7.361816406250000222e-01 6.016796875000000044e-01 4.730468749999999778e-02 9.303515625000000622e-01
4.892382812500000178e-01 8.611816406250000222e-01 7.816796875000000533e-01 6.730468750000001554e-02 1.030351562499999929e+00
3.942382812499999889e-01 6.736816406250000222e-01 8.716796875000000222e-01 3.730468750000000278e-02 9.803515624999999956e-01
2.042382812499999867e-01 7.986816406250000222e-01 6.916796874999999734e-01 5.730468750000000666e-02 8.803515625000000178e-01
1.804882812499999933e-01 7.518066406250000222e-01 8.491796875000000577e-01 6.980468750000000389e-02 9.178515624999999956e-01
3.704882812499999956e-01 8.768066406250000222e-01 6.691796875000000089e-01 4.980468750000000000e-02 1.017851562499999973e+00
4.654882812500000244e-01 6.893066406250000222e-01 5.791796875000000400e-01 5.980468750000000888e-02 1.067851562500000018e+00
2.754882812500000222e-01 8.143066406250000222e-01 7.591796875000000888e-01 3.980468750000000500e-02 9.678515625000000400e-01
2.279882812499999800e-01 6.580566406250000222e-01 7.141796875000000488e-01 6.480468750000001332e-02 1.042851562500000107e+00
4.179882812499999822e-01 7.830566406250000222e-01 8.941796875000000977e-01 4.480468750000000250e-02 9.428515625000000178e-01
3.229882812500000089e-01 7.205566406250000222e-01 8.041796875000000178e-01 5.480468750000000444e-02 8.928515624999999734e-01
1.329882812500000067e-01 8.455566406250000222e-01 6.241796875000000799e-01 3.480468750000000056e-02 9.928515625000000622e-01
1.389257812499999911e-01 6.541503906250000222e-01 8.210546874999999911e-01 5.792968750000000722e-02 9.334765624999999956e-01
3.289257812499999933e-01 7.791503906250000222e-01 6.410546875000000533e-01 3.792968750000000333e-02 1.033476562499999973e+00
4.239257812500000222e-01 7.166503906250000222e-01 5.510546875000000844e-01 6.792968750000000222e-02 9.834765625000000400e-01
2.339257812499999922e-01 8.416503906250000222e-01 7.310546875000000222e-01 4.792968749999999833e-02 8.834765624999999512e-01
2.814257812500000067e-01 7.479003906250000222e-01 6.860546874999999822e-01 5.292968750000000278e-02 1.008476562500000062e+00
4.714257812500000089e-01 8.729003906250000222e-01 8.660546875000000311e-01 3.292968749999999889e-02 9.084765624999999734e-01
3.764257812499999800e-01 6.854003906250000222e-01 7.760546875000000622e-01 6.292968749999999778e-02 9.584765625000000178e-01
1.864257812499999778e-01 8.104003906250000222e-01 5.960546875000000133e-01 4.292968750000000083e-02 1.058476562500000107e+00
2.101757812499999989e-01 7.322753906250000222e-01 7.535546875000000977e-01 3.042968750000000014e-02 1.020976562500000018e+00
4.001757812499999734e-01 8.572753906250000222e-01 5.735546875000000488e-01 5.042968750000000056e-02 9.209765625000000400e-01
4.951757812500000022e-01 6.697753906250000222e-01 6.635546875000000178e-01 4.042968749999999861e-02 8.709765624999999956e-01
3.051757812500000000e-01 7.947753906250000222e-01 8.435546874999999556e-01 6.042968750000000944e-02 9.709765624999999734e-01
2.576757812500000133e-01 7.010253906250000222e-01 6.185546875000000888e-01 3.542968750000000111e-02 8.959765625000000178e-01
4.476757812500000155e-01 8.260253906250000222e-01 7.985546875000000266e-01 5.542968750000000500e-02 9.959765625000001066e-01
3.526757812499999867e-01 7.635253906250000222e-01 8.885546875000001066e-01 4.542968750000000305e-02 1.045976562500000151e+00
1.626757812499999845e-01 8.885253906250000222e-01 7.085546875000000577e-01 6.542968750000000000e-02 9.459765625000000622e-01
1.508007812499999878e-01 7.713378906250000222e-01 5.848046875000000311e-01 6.417968749999999889e-02 8.897265625000000400e-01
3.408007812500000178e-01 8.963378906250000222e-01 7.648046875000000799e-01 4.417968750000000194e-02 9.897265625000000178e-01
4.358007812499999911e-01 7.088378906250000222e-01 8.548046875000000488e-01 5.417968750000000389e-02 1.039726562500000062e+00
2.458007812499999889e-01 8.338378906250000222e-01 6.748046875000000000e-01 3.417968750000000000e-02 9.397265624999999734e-01
2.933007812500000311e-01 6.775878906250000222e-01 8.098046875000000089e-01 6.917968750000000333e-02 1.064726562499999973e+00
4.833007812499999778e-01 8.025878906250000222e-01 6.298046875000000711e-01 4.917968749999999944e-02 9.647265624999999956e-01
3.883007812500000044e-01 7.400878906250000222e-01 7.198046875000000400e-01 5.917968750000000833e-02 9.147265625000000622e-01
1.983007812500000022e-01 8.650878906250000222e-01 8.998046875000000888e-01 3.917968750000000444e-02 1.014726562499999929e+00
1.745507812500000089e-01 6.932128906250000222e-01 6.523046875000000355e-01 4.667968749999999722e-02 9.772265625000000622e-01
3.645507812500000111e-01 8.182128906250000222e-01 8.323046874999999734e-01 6.667968750000000111e-02 8.772265624999999734e-01
4.595507812499999845e-01 7.557128906250000222e-01 7.423046875000000044e-01 3.667968750000000222e-02 9.272265625000000178e-01
2.695507812499999822e-01 8.807128906250000222e-01 5.623046875000000666e-01 5.667968750000000611e-02 1.027226562500000107e+00
2.220507812499999956e-01 7.244628906250000222e-01 8.773046875000000133e-01 4.167968749999999972e-02 9.522265625000000400e-01
4.120507812499999978e-01 8.494628906250000222e-01 6.973046875000000755e-01 6.167968750000000361e-02 1.052226562500000018e+00
3.170507812499999689e-01 6.619628906250000222e-01 6.073046874999999956e-01 3.167968749999999778e-02 1.002226562499999973e+00
1.270507812499999944e-01 7.869628906250000222e-01 7.873046875000000444e-01 5.167968750000000167e-02 9.022265624999999956e-01
1.300195312499999867e-01 6.873535156250000222e-01 6.157421874999999822e-01 6.636718750000000777e-02 1.035039062500000107e+00
3.200195312499999889e-01 8.123535156250000222e-01 7.957421875000000311e-01 4.636718750000000389e-02 9.350390625000000178e-01
4.150195312500000178e-01 7.498535156250000222e-01 8.857421875000000000e-01 5.636718749999999889e-02 8.850390624999999734e-01
2.250195312500000155e-01 8.748535156250000222e-01 7.057421875000000622e-01 3.636718750000000194e-02 9.850390625000000622e-01
2.725195312500000022e-01 7.186035156250000222e-01 7.507421874999999911e-01 6.136718750000000333e-02 9.100390624999999956e-01
4.625195312500000044e-01 8.436035156250000222e-01 5.707421875000000533e-01 4.136718749999999944e-02 1.010039062499999973e+00
3.675195312500000311e-01 6.561035156250000222e-01 6.607421875000000222e-01 5.136718750000000139e-02 1.060039062500000018e+00
1.775195312500000011e-01 7.811035156250000222e-01 8.407421875000000711e-01 3.136718749999999750e-02 9.600390625000000400e-01
2.012695312499999944e-01 7.654785156250000222e-01 7.282421875000000266e-01 4.386718750000000167e-02 9.225390625000000622e-01
3.912695312500000244e-01 8.904785156250000222e-01 9.082421874999999645e-01 6.386718750000000555e-02 1.022539062499999929e+00
4.862695312499999978e-01 7.029785156250000222e-01 8.182421875000001066e-01 3.386718749999999972e-02 9.725390624999999956e-01
2.962695312499999956e-01 8.279785156250000222e-01 6.382421875000000577e-01 5.386718750000000361e-02 8.725390625000000178e-01
2.487695312500000089e-01 6.717285156250000222e-01 8.632421875000000355e-01 4.886718750000000611e-02 9.975390625000000178e-01
4.387695312500000111e-01 7.967285156250000222e-01 6.832421875000000977e-01 6.886718750000000999e-02 8.975390625000000400e-01
3.437695312499999822e-01 7.342285156250000222e-01 5.932421875000000178e-01 3.886718749999999722e-02 9.475390624999999734e-01
1.537695312499999800e-01 8.592285156250000222e-01 7.732421875000000666e-01 5.886718750000000111e-02 1.047539062500000062e+00
1.656445312500000044e-01 7.420410156250000222e-01 8.969921874999999822e-01 5.011718750000000722e-02 9.912890625000000400e-01
3.556445312500000067e-01 8.670410156250000222e-01 7.169921875000000444e-01 3.011718749999999986e-02 8.912890624999999512e-01
4.506445312499999800e-01 6.795410156250000222e-01 6.269921875000000755e-01 6.011718750000000222e-02 9.412890624999999956e-01
2.606445312499999778e-01 8.045410156250000222e-01 8.069921875000000133e-01 4.011718749999999833e-02 1.041289062499999973e+00
3.081445312499999645e-01 7.107910156250000222e-01 6.719921875000000044e-01 5.511718750000000472e-02 9.662890625000000178e-01
4.981445312500000222e-01 8.357910156250000222e-01 8.519921875000000533e-01 3.511718750000000083e-02 1.066289062500000107e+00
4.031445312499999933e-01 7.732910156250000222e-01 7.619921874999999734e-01 6.511718750000000666e-02 1.016289062500000062e+00
2.131445312499999911e-01 8.982910156250000222e-01 5.819921875000000355e-01 4.511718750000000278e-02 9.162890624999999734e-01
1.893945312499999978e-01 6.639160156250000222e-01 7.844921875000000488e-01 3.761718750000000305e-02 8.787890624999999956e-01
3.793945312500000000e-01 7.889160156250000222e-01 6.044921875000000000e-01 5.761718750000000000e-02 9.787890624999999734e-01
4.743945312499999734e-01 7.264160156250000222e-01 6.944921875000000799e-01 4.761718750000000500e-02 1.028789062500000018e+00
2.843945312500000266e-01 8.514160156250000222e-01 8.744921875000000178e-01 6.761718750000000888e-02 9.287890625000000400e-01
2.368945312499999845e-01 7.576660156250000222e-01 5.594921875000000711e-01 3.261718749999999861e-02 1.053789062500000151e+00
4.268945312499999867e-01 8.826660156250000222e-01 7.394921875000000089e-01 5.261718750000000250e-02 9.537890625000000622e-01
3.318945312500000133e-01 6.951660156250000222e-01 8.294921875000000888e-01 4.261718750000000056e-02 9.037890625000000178e-01
1.418945312500000111e-01 8.201660156250000222e-01 6.494921875000000400e-01 6.261718750000000444e-02 1.003789062500000107e+00
1.359570312499999989e-01 7.459472656250000222e-01 8.013671875000000222e-01 4.949218750000000666e-02 9.506640625000000178e-01
3.259570312499999734e-01 8.709472656250000222e-01 6.213671875000000844e-01 6.949218749999999667e-02 1.050664062500000107e+00
4.209570312500000022e-01 6.834472656250000222e-01 7.113671875000000533e-01 3.949218749999999778e-02 1.000664062500000062e+00
2.309570312500000000e-01 8.084472656250000222e-01 8.913671874999999911e-01 5.949218750000000167e-02 9.006640624999999734e-01
2.784570312499999867e-01 6.521972656250000222e-01 5.763671875000000444e-01 4.449218750000000222e-02 9.756640625000000400e-01
4.684570312499999889e-01 7.771972656250000222e-01 7.563671874999999822e-01 6.449218750000000611e-02 8.756640624999999512e-01
3.734570312500000155e-01 7.146972656250000222e-01 8.463671875000000622e-01 3.449218750000000028e-02 9.256640624999999956e-01
1.834570312500000133e-01 8.396972656250000222e-01 6.663671875000000133e-01 5.449218750000000416e-02 1.025664062499999973e+00
2.072070312500000067e-01 6.990722656250000222e-01 8.688671875000000266e-01 6.199218750000000389e-02 1.063164062500000062e+00
3.972070312500000089e-01 8.240722656250000222e-01 6.888671875000000888e-01 4.199218750000000000e-02 9.631640624999999734e-01
4.922070312499999822e-01 7.615722656250000222e-01 5.988671875000000089e-01 5.199218750000000194e-02 9.131640625000000400e-01
3.022070312500000355e-01 8.865722656250000222e-01 7.788671875000000577e-01 3.199218749999999806e-02 1.013164062500000018e+00
2.547070312499999933e-01 7.303222656250000222e-01 6.438671875000000488e-01 6.699218750000000833e-02 8.881640625000000178e-01
4.447070312499999956e-01 8.553222656250000222e-01 8.238671875000000977e-01 4.699218750000000444e-02 9.881640624999999956e-01
3.497070312500000222e-01 6.678222656250000222e-01 7.338671875000000178e-01 5.699218749999999944e-02 1.038164062499999929e+00
1.597070312499999922e-01 7.928222656250000222e-01 5.538671875000000799e-01 3.699218750000000250e-02 9.381640625000000622e-01
1.478320312499999956e-01 6.756347656250000222e-01 7.001171875000000711e-01 3.324218749999999917e-02 9.069140625000000622e-01
3.378320312499999978e-01 8.006347656250000222e-01 8.801171875000000089e-01 5.324218750000000305e-02 1.006914062499999929e+00
4.328320312500000266e-01 7.381347656250000222e-01 7.901171875000000400e-01 4.324218750000000111e-02 1.056914062499999973e+00
2.428320312499999967e-01 8.631347656250000222e-01 6.101171874999999911e-01 6.324218750000000500e-02 9.569140624999999956e-01
2.903320312500000111e-01 7.693847656250000222e-01 8.351171875000000799e-01 3.824218749999999667e-02 1.031914062500000062e+00
4.803320312500000133e-01 8.943847656250000222e-01 6.551171875000000311e-01 5.824218750000000056e-02 9.319140624999999734e-01
3.853320312499999845e-01 7.068847656250000222e-01 5.651171875000000622e-01 4.824218750000000555e-02 8.819140625000000400e-01
1.953320312499999822e-01 8.318847656250000222e-01 7.451171875000000000e-01 6.824218750000000944e-02 9.819140625000000178e-01
1.715820312499999889e-01 7.225097656250000222e-01 6.326171875000000666e-01 5.574218750000000527e-02 1.019414062500000107e+00
3.615820312499999911e-01 8.475097656250000222e-01 8.126171875000001155e-01 3.574218750000000139e-02 9.194140625000000178e-01
4.565820312500000200e-01 6.600097656250000222e-01 9.026171874999999734e-01 6.574218750000000722e-02 9.694140625000000622e-01
2.665820312500000178e-01 7.850097656250000222e-01 7.226171875000000355e-01 4.574218750000000333e-02 1.069414062500000151e+00
2.190820312500000033e-01 6.912597656250000222e-01 7.676171875000000755e-01 5.074218750000000777e-02 9.444140625000000400e-01
4.090820312499999778e-01 8.162597656250000222e-01 5.876171875000000266e-01 3.074218750000000042e-02 1.044414062500000018e+00
3.140820312500000044e-01 7.537597656250000222e-01 6.776171875000001066e-01 6.074218750000000278e-02 9.944140625000000844e-01
1.240820312500000022e-01 8.787597656250000222e-01 8.576171875000000444e-01 4.074218749999999889e-02 8.944140624999999956e-01
1.255664062499999845e-01 6.707519531250000222e-01 7.605859375000000311e-01 6.371093750000000888e-02 9.842578124999999956e-01
3.155664062499999867e-01 7.957519531250000222e-01 5.805859375000000933e-01 4.371093750000000500e-02 8.842578125000000178e-01
4.105664062500000155e-01 7.332519531250000222e-01 6.705859375000000622e-01 5.371093750000000000e-02 9.342578125000000622e-01
2.205664062500000133e-01 8.582519531250000222e-01 8.505859375000000000e-01 3.371093749999999611e-02 1.034257812499999929e+00
2.680664062500000000e-01 7.645019531250000222e-01 6.255859375000000222e-01 6.871093750000001332e-02 9.592578124999999734e-01
4.580664062500000022e-01 8.895019531250000222e-01 8.055859375000000711e-01 4.871093750000000250e-02 1.059257812500000062e+00
3.630664062499999734e-01 7.020019531250000222e-01 8.955859375000000400e-01 5.871093750000000444e-02 1.009257812500000018e+00
1.730664062499999989e-01 8.270019531250000222e-01 7.155859374999999911e-01 3.871093750000000056e-02 9.092578125000000400e-01
1.968164062499999922e-01 7.176269531250000222e-01 8.280859375000000355e-01 4.621093750000000722e-02 8.717578124999999512e-01
3.868164062500000222e-01 8.426269531250000222e-01 6.480859375000000977e-01 6.621093750000001110e-02 9.717578125000000400e-01
